Episode,Loss,Total Reward
8,,579.5999999999999
9,,562.8999999999999
10,,502.39999999999975
11,,853.8999999999996
12,,573.5999999999997
13,,701.6999999999996
14,,725.8999999999995
15,,486.4999999999998
16,,781.1999999999996
17,,502.2999999999997
